age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,income_qcut,income_level,spending_qcut,spending_score_level,purchase_frequency_qcut,purchase_frequency_level,membership_years_qcut,membership_years_level,last_purchase_amount_qcut,last_purchase_amount_qcut_level,score_final,score_final_qcut,score_final_qcut_level
32,Male,35514,4.0,5.0,36.0,Sports,415.44,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(232.75, 492.32]",2,9,"(5.999, 11.0]",bronze
64,Male,87595,11.0,5.0,21.0,Electronics,69.78,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,8,"(5.999, 11.0]",bronze
59,Male,125014,89.0,7.0,42.0,Home & Garden,451.82,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(232.75, 492.32]",2,17,"(13.0, 20.0]",ouro
62,Male,128322,44.0,4.0,31.0,Unknown,668.91,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
62,Male,48693,36.0,9.0,44.0,Home & Garden,755.67,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(736.37, 998.98]",4,15,"(13.0, 20.0]",ouro
44,Male,113154,75.0,8.0,46.0,Groceries,492.3200423280423,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(232.75, 492.32]",2,15,"(13.0, 20.0]",ouro
68,Female,78309,12.0,2.0,49.0,Clothing,848.14,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(736.37, 998.98]",4,12,"(11.0, 13.0]",prata
47,Female,112072,50.0,5.0,26.51413612565445,Groceries,884.19,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
43,Male,42855,66.0,6.0,23.0,Unknown,138.51,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
26,Other,55515,29.0,9.0,37.0,Sports,50.57,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
30,Male,51454,94.0,8.0,17.0,Home & Garden,553.35,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
44,Other,69362,58.0,1.0,23.0,Clothing,960.08,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,12,"(11.0, 13.0]",prata
26,Female,69795,60.0,5.46,29.0,Electronics,389.37,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
58,Male,32860,90.0,5.0,18.0,Sports,405.05,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
40,Other,81037,70.0,10.0,45.0,Unknown,370.75,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(232.75, 492.32]",2,15,"(13.0, 20.0]",ouro
67,Other,40385,64.0,1.0,17.0,Sports,957.06,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
61,Female,131607,54.931650893796004,7.0,26.0,Clothing,714.15,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
51,Male,42337,70.0,9.0,28.0,Sports,914.97,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(736.37, 998.98]",4,15,"(13.0, 20.0]",ouro
67,Female,116124,78.0,10.0,28.0,Home & Garden,11.29,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,16,"(13.0, 20.0]",ouro
25,Other,94016,85.0,8.0,49.0,Groceries,764.28,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(736.37, 998.98]",4,18,"(13.0, 20.0]",ouro
44,Male,62131,91.0,6.0,18.0,Sports,70.56,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
29,Female,100290,54.931650893796004,8.0,29.0,Clothing,480.87,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(232.75, 492.32]",2,13,"(11.0, 13.0]",prata
31,Male,145261,25.0,10.0,37.0,Sports,378.4,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(232.75, 492.32]",2,14,"(13.0, 20.0]",ouro
48,Male,81763,49.0,6.0,46.0,Sports,179.25,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
44,Female,120561,66.0,2.0,21.0,Clothing,798.2,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
18,Female,99638,33.0,8.0,23.0,Groceries,316.27,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
23,Other,67237,85.0,9.0,40.0,Electronics,673.02,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(492.32, 736.37]",3,17,"(13.0, 20.0]",ouro
37,Unknown,61695,13.0,5.0,45.0,Home & Garden,18.49,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
55,Other,101084,54.931650893796004,9.0,24.0,Groceries,624.81,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
41,Female,82613,49.0,3.0,10.0,Unknown,421.24,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(232.75, 492.32]",2,8,"(5.999, 11.0]",bronze
44,Other,122987,29.0,10.0,25.0,Electronics,898.68,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(736.37, 998.98]",4,16,"(13.0, 20.0]",ouro
58,Other,90389,17.0,5.0,12.0,Electronics,855.21,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,10,"(5.999, 11.0]",bronze
69,Male,90929,2.0,10.0,29.0,Unknown,492.3200423280423,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
47,Female,104517,91.0,5.46,6.0,Home & Garden,979.41,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
34,Other,79949,89.0,3.0,19.0,Groceries,273.34,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
54,Male,100745,29.0,6.0,42.0,Clothing,335.15,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(232.75, 492.32]",2,14,"(13.0, 20.0]",ouro
55,Other,138064,86.0,5.0,22.0,Electronics,368.75,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(232.75, 492.32]",2,14,"(13.0, 20.0]",ouro
45,Female,79721,20.0,1.0,1.0,Home & Garden,215.41,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,6,"(5.999, 11.0]",bronze
43,Male,33030,61.0,5.46,40.0,Groceries,711.04,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
30,Other,78653,54.931650893796004,4.0,2.0,Electronics,933.73,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
53,Other,146312,58.0,2.0,32.0,Electronics,880.78,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(736.37, 998.98]",4,15,"(13.0, 20.0]",ouro
24,Female,103766,77.0,4.0,25.0,Home & Garden,663.21,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
69,Female,98053,59.0,2.0,37.0,Clothing,762.41,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
61,Other,46738,36.0,3.0,26.0,Unknown,393.6,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(232.75, 492.32]",2,8,"(5.999, 11.0]",bronze
58,Other,107818,70.0,5.0,24.0,Home & Garden,722.18,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
36,Other,83511,28.0,5.0,49.0,Home & Garden,367.97,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
69,Female,117782,18.0,1.0,15.0,Sports,762.55,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
64,Other,122472,75.0,1.0,17.0,Sports,771.33,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
45,Male,76259,72.0,5.0,41.0,Sports,228.88,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
60,Other,98053,37.0,8.0,42.0,Sports,520.37,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(492.32, 736.37]",3,15,"(13.0, 20.0]",ouro
64,Other,96494,10.0,4.0,26.51413612565445,Home & Garden,184.45,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,9,"(5.999, 11.0]",bronze
41,Female,48155,19.0,10.0,36.0,Groceries,566.65,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(492.32, 736.37]",3,12,"(11.0, 13.0]",prata
44,Other,46707,54.931650893796004,10.0,16.0,Clothing,18.6,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
36,Other,872750,82.0,9.0,2.0,Unknown,14.52,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,14,"(13.0, 20.0]",ouro
51,Female,58930,95.0,5.0,33.0,Sports,115.09,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
37,Male,33987,60.0,8.0,39.0,Groceries,975.1,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(736.37, 998.98]",4,15,"(13.0, 20.0]",ouro
21,Male,140801,13.0,3.0,43.0,Home & Garden,82.88,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
19,Male,98446,25.0,4.0,34.0,Groceries,696.59,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(492.32, 736.37]",3,12,"(11.0, 13.0]",prata
56,Female,111754,96.0,8.0,38.0,Home & Garden,631.06,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(492.32, 736.37]",3,16,"(13.0, 20.0]",ouro
47,Other,66932,89.0,5.46,9.0,Home & Garden,861.66,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
33,Female,81766,86.0,1.0,16.0,Sports,492.3200423280423,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
34,Male,79572,62.0,2.0,24.0,Sports,843.15,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,12,"(11.0, 13.0]",prata
65,Other,98053,30.0,2.0,35.0,Electronics,218.74,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
67,Female,130300,75.0,5.0,27.0,Electronics,94.32,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,13,"(11.0, 13.0]",prata
45,Female,102050,57.0,8.0,39.0,Groceries,263.93,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(232.75, 492.32]",2,15,"(13.0, 20.0]",ouro
48,Male,121325,30.0,3.0,35.0,Home & Garden,624.36,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
49,Male,76202,83.0,3.0,6.0,Groceries,208.79,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,9,"(5.999, 11.0]",bronze
40,Male,98053,54.931650893796004,6.0,25.0,Electronics,625.28,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
43,Female,32512,95.0,4.0,49.0,Home & Garden,223.39,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
27,Male,63313,8.0,10.0,42.0,Groceries,35.01,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
41,Female,104337,91.0,6.0,27.0,Home & Garden,401.63,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(232.75, 492.32]",2,15,"(13.0, 20.0]",ouro
40,Other,124138,84.0,10.0,41.0,Groceries,426.62,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(232.75, 492.32]",2,18,"(13.0, 20.0]",ouro
35,Male,137307,54.931650893796004,6.0,24.0,Electronics,111.27,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
55,Male,77060,14.0,2.0,16.0,Sports,286.79,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(232.75, 492.32]",2,8,"(5.999, 11.0]",bronze
45,Male,108335,62.0,1.0,35.0,Elec,940.93,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
41,Unknown,59408,68.0,1.0,16.0,Electronics,504.16,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(492.32, 736.37]",3,10,"(5.999, 11.0]",bronze
35,Unknown,100208,80.0,2.0,27.0,Electronics,23.73,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
63,Other,109506,48.0,10.0,50.0,Electronics,26.85,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,14,"(13.0, 20.0]",ouro
69,Female,39509,10.0,5.46,27.0,Groceries,377.66,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(232.75, 492.32]",2,9,"(5.999, 11.0]",bronze
69,Male,74519,95.0,10.0,42.0,Clothing,931.51,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(736.37, 998.98]",4,18,"(13.0, 20.0]",ouro
44,Other,31806,79.0,8.0,13.0,Electronics,261.07,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
48,Male,108550,5.0,6.0,35.0,Home & Garden,410.05,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
34,Female,56125,66.0,10.0,26.0,Home & Garden,610.66,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
39,Male,116566,76.0,9.0,21.0,Groceries,32.38,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,15,"(13.0, 20.0]",ouro
45,Female,82014,30.0,10.0,15.0,Groceries,81.91,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
63,Female,113240,47.0,9.0,22.0,Clothing,279.96,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(232.75, 492.32]",2,13,"(11.0, 13.0]",prata
45,Male,111788,54.931650893796004,9.0,49.0,Unknown,628.43,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(492.32, 736.37]",3,16,"(13.0, 20.0]",ouro
25,Male,30570,16.0,8.0,44.0,Sports,492.3200423280423,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
66,Other,106631,41.0,6.0,9.0,Home & Garden,354.46,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
49,Male,100258,53.0,6.0,27.0,Home & Garden,436.43,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(232.75, 492.32]",2,13,"(11.0, 13.0]",prata
27,Male,132541,78.0,8.0,42.0,Electronics,825.01,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(736.37, 998.98]",4,19,"(13.0, 20.0]",ouro
34,Male,97962,18.0,3.0,19.0,Elec,947.73,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
58,Male,48714,75.0,10.0,40.0,Sports,324.91,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(232.75, 492.32]",2,14,"(13.0, 20.0]",ouro
59,Female,70050,62.0,3.0,10.0,Clothing,49.53,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,8,"(5.999, 11.0]",bronze
60,Female,124416,54.931650893796004,5.0,39.0,Home & Garden,544.04,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(492.32, 736.37]",3,15,"(13.0, 20.0]",ouro
47,Other,93783,24.0,10.0,3.0,Electronics,406.56,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(8.0, 10.0]",4,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
40,Female,83445,89.0,7.0,11.0,Clothing,492.3200423280423,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
18,Other,54421,20.0,1.0,41.0,Home & Garden,215.95,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,8,"(5.999, 11.0]",bronze
47,Female,121498,29.0,9.0,28.0,Sports,706.37,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(492.32, 736.37]",3,16,"(13.0, 20.0]",ouro
33,Male,84883,43.0,2.0,26.51413612565445,Home & Garden,956.03,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
69,Other,127086,54.931650893796004,4.0,45.0,Electronics,339.9,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(232.75, 492.32]",2,14,"(13.0, 20.0]",ouro
44,Other,133538,27.0,5.0,46.0,Electronics,761.08,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(736.37, 998.98]",4,15,"(13.0, 20.0]",ouro
46,Unknown,98053,19.0,2.0,45.0,Sports,635.93,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(492.32, 736.37]",3,12,"(11.0, 13.0]",prata
55,Female,147024,24.0,9.0,16.0,Electronics,169.79,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
57,Male,33009,82.0,9.0,24.0,Clothing,563.64,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
69,Male,98053,90.0,7.0,29.0,Electronics,559.73,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(492.32, 736.37]",3,16,"(13.0, 20.0]",ouro
62,Male,82623,51.0,8.0,37.0,Clothing,155.14,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
67,Other,98053,3.0,2.0,26.0,Clothing,868.18,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
53,Female,146546,12.0,6.0,45.0,Sports,915.02,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(736.37, 998.98]",4,16,"(13.0, 20.0]",ouro
51,Female,33665,12.0,2.0,26.51413612565445,Unknown,139.07,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,6,"(5.999, 11.0]",bronze
54,Female,92156,54.931650893796004,7.0,14.0,Electronics,238.87,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
19,Female,51355,48.0,8.0,28.0,Unknown,278.21,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
65,Male,89274,71.0,10.0,34.0,Electronics,840.45,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(736.37, 998.98]",4,16,"(13.0, 20.0]",ouro
53,Male,57651,27.0,7.0,16.0,Home & Garden,492.3200423280423,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(232.75, 492.32]",2,9,"(5.999, 11.0]",bronze
